,hedge_true_positive,naive_true_positive,hedge_false_positive,naive_false_positive,hedge_false_negative,naive_false_negative,test length,hedge_fp_true_positive,hedge_fp_false_positive,hedge_fp_false_negative
2021-01-07,536,799,56,56,797,588,2666,536,56,797
2021-01-14,1501,1794,197,197,1088,885,2508,1499,195,1088
2021-01-21,3015,3584,313,323,2302,1917,5422,2995,293,2303
2021-01-28,4843,5436,501,538,3064,2688,5136,4801,459,3065
2021-02-04,6535,7108,725,803,3886,3531,4950,6454,644,3887
2021-02-11,7593,8109,840,950,4157,3834,2576,7471,718,4158
2021-02-18,8379,8835,911,1048,4378,4084,1920,8210,742,4379
2021-02-25,9534,9916,963,1173,4699,4453,2868,9322,751,4701
2021-03-04,10640,10925,1062,1332,5009,4806,2692,10358,780,5011
2021-03-11,11805,12003,1147,1464,5306,5152,2800,11460,802,5309
2021-03-18,13044,13143,1274,1634,5585,5477,2910,12635,865,5589
2021-03-25,14188,14203,1294,1754,5841,5810,2760,13759,865,5845
2021-04-01,16227,16038,1373,2098,6562,6587,5430,15753,899,6566
2021-04-08,17375,17078,1434,2228,6838,6950,2752,16852,911,6843
2021-04-15,18549,18160,1536,2369,7083,7263,2712,17963,950,7088
2021-04-22,20654,19928,1599,2815,7739,8033,5444,20027,972,7746
2021-04-29,22861,21797,1646,3249,8324,8721,5504,22193,978,8332
2021-05-06,24017,22795,1651,3435,8534,9032,2726,23345,979,8543
2021-05-13,25165,23845,1699,3551,8735,9327,2622,24454,988,8745
2021-05-20,26341,24835,1708,3756,8947,9648,2764,25624,991,8957
2021-05-27,28464,26758,1882,4082,9661,10485,5552,27686,1104,9671
2021-06-03,30390,28241,1923,4720,10505,11416,5514,29598,1131,10516
2021-06-10,32522,30067,2071,5118,11099,12146,5302,31652,1201,11113
2021-06-17,34769,31855,2104,5672,11619,12808,5496,33876,1211,11637
2021-06-24,35957,32930,2136,5814,11874,13173,2854,35046,1225,11894
2021-07-01,37130,33993,2191,5963,12097,13492,2746,36194,1255,12119
2021-07-08,38304,34912,2199,6268,12420,13879,2986,37364,1259,12442
2021-07-15,39470,35980,2242,6395,12641,14192,2728,38507,1279,12663
2021-07-22,40694,36998,2249,6629,12817,14471,2790,39725,1280,12840
2021-07-29,41887,38077,2277,6762,13036,14810,2788,40898,1288,13061
2021-08-05,43086,39142,2331,6919,13275,15150,2800,42059,1304,13300
2021-08-12,45356,41026,2442,7354,13770,15798,5380,44253,1339,13796
2021-08-19,47550,42929,2602,7738,14481,16663,5650,46365,1417,14509
2021-08-26,48706,43944,2619,7891,14697,16998,2722,47509,1422,14726
2021-09-02,49907,44946,2622,8105,14830,17258,2668,48709,1424,14860
2021-09-09,51133,45922,2626,8386,15074,17593,2936,49931,1424,15106
2021-09-16,52296,46904,2628,8581,15274,17909,2724,51093,1425,15306
2021-09-23,54684,48939,2774,9024,15830,18635,5750,53410,1500,15864
2021-09-30,55902,49975,2781,9225,16002,18917,2776,54626,1505,16036
2021-10-07,57096,51033,2813,9386,16202,19236,2752,55800,1517,16238
2021-10-14,58356,52114,2819,9595,16405,19544,2926,57058,1521,16443
2021-10-21,59651,53256,2889,9803,16614,19850,2954,58325,1563,16653
2021-10-28,61030,54462,2928,10010,16859,20219,3204,59680,1578,16900
2021-11-04,62297,55601,2968,10173,17115,20586,3002,60924,1596,17157
2021-11-11,64866,57649,2995,10776,17623,21285,6136,63481,1611,17668
2021-11-18,66282,58829,3012,11028,17800,21604,3158,64883,1614,17845
2021-11-25,67499,59953,3046,11152,18005,21925,2814,66083,1631,18052
2021-12-02,68841,61127,3071,11338,18239,22292,3124,67409,1640,18288
2021-12-09,70010,62146,3084,11502,18418,22610,2692,68573,1648,18470
2021-12-16,72388,64180,3204,11925,18950,23349,5704,70888,1705,19007
2021-12-23,74775,66105,3280,12437,19386,23995,5548,73221,1727,19448
2021-12-30,76813,67556,3318,13101,19830,24569,4932,75238,1744,19897
2022-01-06,77970,68494,3335,13337,20074,24917,2786,76385,1751,20143
2022-01-13,80477,70542,3424,13856,20583,25640,5944,78844,1792,20656
2022-01-20,82941,72567,3519,14354,21080,26345,5822,81253,1832,21158
2022-01-27,84274,73657,3523,14626,21223,26596,2954,82583,1833,21305
2022-02-03,86838,75593,3535,15327,21631,27184,5940,85142,1840,21716
2022-02-10,89484,77848,3637,15800,22197,27971,6332,87739,1893,22285
2022-02-17,90831,79012,3682,16010,22399,28292,3046,89060,1912,22487
2022-02-24,93467,81213,3738,16493,22892,29011,6188,91654,1926,22987
2022-03-03,96128,83320,3795,17079,23399,29753,6264,94273,1941,23500
2022-03-10,98973,85475,3807,17831,23774,30356,6434,97110,1945,23880
2022-03-17,101635,87574,3861,18443,24280,31090,6272,99735,1962,24391
2022-03-24,104560,89709,3875,19283,24630,31691,6538,102650,1965,24745
2022-03-31,105961,90873,3920,19547,24791,31980,3078,104026,1985,24908
2022-04-07,107381,92018,3927,19834,24933,32254,3114,105439,1985,25052
2022-04-14,108723,93143,3967,20073,25138,32585,3044,106756,2000,25257
2022-04-21,110159,94345,4000,20332,25315,32912,3186,108170,2011,25436
2022-04-28,112979,96382,4018,21166,25700,33533,6390,110978,2017,25823
2022-05-05,114421,97555,4038,21473,25839,33811,3146,112411,2028,25963
2022-05-12,115886,98690,4046,21828,25981,34093,3216,113873,2033,26109
2022-05-19,118563,100819,4112,22428,26426,34795,6190,116519,2068,26558
2022-05-26,120014,101982,4121,22738,26572,35087,3190,117965,2072,26707
2022-06-02,122387,103921,4269,23318,27572,36327,6680,120300,2182,27712
2022-06-09,123882,105174,4326,23593,27751,36667,3300,121770,2214,27892
2022-06-16,125298,106319,4370,23897,27938,36993,3168,123167,2239,28079
2022-06-23,126719,107393,4377,24270,28104,37293,3172,124584,2242,28248
2022-06-30,129538,109462,4399,25091,28487,37907,6386,127390,2251,28635
2022-07-07,130997,110509,4405,25538,28663,38197,3264,128845,2253,28812
2022-07-14,132459,111627,4412,25906,28812,38485,3214,130301,2254,28963
2022-07-21,135328,113682,4428,26786,29142,39038,6392,133162,2262,29298
2022-07-28,136799,114846,4430,27107,29281,39336,3220,134631,2262,29439
2022-08-04,138177,115922,4436,27421,29403,39623,3002,136004,2263,29567
2022-08-11,139661,117050,4445,27795,29562,39923,3274,137479,2263,29729
2022-08-18,142513,119138,4457,28605,29890,40494,6354,140325,2269,30060
2022-08-25,143946,120300,4475,28889,30040,40800,3142,141746,2275,30210
2022-09-01,145455,121450,4482,29269,30169,41077,3274,143251,2278,30342
2022-09-08,146974,122571,4488,29700,30344,41369,3380,144766,2280,30517
2022-09-15,148390,123752,4514,29954,30534,41704,3186,146169,2293,30707
2022-09-22,151290,125877,4531,30779,30845,42270,6408,149062,2303,31018
2022-09-29,152731,127102,4579,31024,31068,42652,3278,150476,2324,31243
2022-10-06,154234,128381,4608,31263,31231,42987,3292,151958,2332,31407
2022-10-13,157244,130590,4628,32128,31571,43574,6686,154958,2342,31750
2022-10-20,158761,131855,4643,32399,31764,43941,3406,156465,2347,31946
2022-10-27,160342,133171,4677,32682,32007,44362,3604,158023,2358,32190
2022-11-03,163362,135550,4842,33486,32441,44983,6874,161022,2502,32628
2022-11-10,164829,136766,4869,33753,32673,45370,3360,162469,2509,32861
2022-11-17,167719,138897,4897,34563,33053,45991,6510,165344,2522,33241
2022-11-24,169098,140018,4897,34835,33195,46300,3044,166723,2522,33384
2022-12-01,170654,141221,4900,35223,33394,46611,3510,168277,2523,33585
2022-12-08,172089,142462,4937,35444,33587,46944,3216,169690,2538,33780
2022-12-15,174872,144578,4987,36157,34026,47666,6402,172446,2561,34225
2022-12-22,176187,145657,5005,36405,34189,47983,2938,173751,2569,34389
2022-12-29,177454,146663,5044,36696,34448,48378,3016,174998,2588,34650
2023-01-05,178869,147675,5048,37137,34669,48714,3268,176410,2589,34872
2023-01-12,181760,149675,5069,38075,35022,49329,6462,179284,2593,35229
2023-01-19,184543,151633,5079,38944,35335,49882,6194,182062,2598,35548
2023-01-26,186005,152793,5082,39273,35459,50149,3174,183522,2599,35675
2023-02-02,187370,153939,5110,39514,35634,50480,3052,184867,2607,35856
2023-02-09,188831,155093,5124,39835,35792,50804,3228,186320,2613,36017
2023-02-16,190258,156246,5132,40124,35958,51131,3180,187743,2617,36184
2023-02-23,191737,157478,5140,40384,36162,51506,3364,189219,2622,36390
2023-03-02,193223,158650,5152,40721,36306,51796,3252,190700,2629,36535
2023-03-09,194700,159787,5156,41081,36425,52078,3194,192175,2631,36657
2023-03-16,197561,162108,5342,41799,36876,52739,6586,195010,2791,37115
2023-03-23,199093,163274,5355,42190,37000,53017,3302,196535,2797,37241
2023-03-30,200583,164503,5384,42474,37168,53343,3290,198010,2811,37411
2023-04-06,203558,166557,5413,43475,37585,53987,6772,200970,2825,37837
2023-04-13,206285,168587,5481,44234,38042,54714,6314,203666,2862,38298
2023-04-20,209327,170739,5579,45209,38361,55251,6636,206663,2915,38619
2023-04-27,212384,172846,5677,46233,38665,55755,6608,209660,2953,38926
2023-05-04,213836,174019,5685,46532,38813,56080,3204,211109,2958,39079
2023-05-11,216833,176200,5712,47409,39152,56715,6648,214089,2968,39423
2023-05-18,218354,177406,5717,47745,39299,57015,3330,215607,2970,39570
2023-05-25,221584,179719,5814,48747,39635,57580,7020,218776,3005,39911
2023-06-01,223058,180895,5862,49079,39939,58054,3508,220226,3029,40215
